0 0 0 0 0 0 0 0 
1200 0 1000 565 14 0 421 0 
2400 0 1000 551 18 0 431 0 
3600 0 1000 552 11 0 436 0 
4800 0 1000 539 14 0 446 0 
6000 0 1000 546 18 0 436 0 
7200 0 1000 575 12 0 413 0 
8400 0 1000 543 15 0 441 0 
9600 0 1000 540 12 0 448 0 
10800 0 1000 528 18 0 453 0 
12000 0 1000 543 23 0 434 0 
13200 0 1000 556 17 0 427 0 
14400 0 1000 573 14 0 412 0 
15600 0 1000 563 13 0 423 0 
16800 0 1000 560 20 0 419 0 
18000 0 1000 518 15 0 447 20 
19200 0 1000 526 15 0 443 16 
20400 0 1000 534 19 0 428 18 
21600 0 1000 522 20 0 435 23 
22800 0 1000 525 24 0 426 25 
24000 0 1000 546 16 0 414 24 
25200 0 1000 529 13 0 429 29 
26400 0 1000 537 18 0 418 26 
27600 0 1000 525 29 0 423 23 
28800 0 1000 557 14 0 413 16 
30000 0 1000 532 18 0 410 40 
31200 0 1000 544 21 0 416 19 
32400 0 1000 549 15 0 397 39 
33600 0 1000 550 10 0 408 32 
34800 0 1000 551 20 0 402 27 
36000 0 1000 542 18 0 422 17 
37200 0 1000 572 15 0 399 14 
38400 0 1000 574 22 0 379 25 
39600 0 1000 547 25 0 399 28 
40800 0 1000 565 27 0 379 28 
42000 0 1000 530 25 0 403 41 
43200 0 1000 544 12 0 394 49 
44400 0 1000 585 22 0 363 30 
45600 0 1000 553 21 0 392 33 
46800 0 1000 563 19 0 401 17 
48000 0 1000 572 19 0 371 37 
49200 0 1000 578 30 0 361 30 
50400 0 1000 557 22 0 396 24 
51600 0 1000 563 21 0 397 19 
52800 0 1000 561 26 0 384 28 
54000 0 1000 531 17 0 422 29 
55200 0 1000 562 21 0 379 38 
56400 0 1000 569 26 0 355 49 
57600 0 1000 568 16 0 386 29 
58800 0 1000 577 23 0 370 29 
60000 0 1000 575 23 0 357 44 
61200 0 1000 577 19 0 363 40 
62400 0 1000 606 18 0 335 41 
63600 0 1000 578 18 0 367 36 
64800 0 1000 582 27 0 351 39 
66000 0 1000 585 21 0 363 30 
67200 0 1000 568 33 0 343 55 
68400 0 1000 601 17 0 351 30 
69600 0 1000 582 28 0 361 28 
70800 0 1000 588 21 0 365 26 
72000 0 1000 620 18 0 329 32 
73200 0 1000 575 25 0 362 37 
74400 0 1000 618 27 0 323 32 
75600 0 1000 606 30 0 328 35 
76800 0 1000 582 25 0 351 41 
78000 0 1000 621 21 0 336 21 
79200 0 1000 612 27 0 326 34 
80400 0 1000 597 26 0 344 32 
81600 0 1000 603 18 0 332 46 
82800 0 1000 600 31 0 332 36 
84000 0 1000 611 26 0 325 37 
85200 0 1000 632 29 0 305 33 
86400 0 1000 626 34 0 302 37 
87600 0 1000 607 33 0 333 26 
88800 0 1000 608 30 0 323 38 
90000 0 1000 606 20 0 325 48 
91200 0 1000 619 29 0 317 35 
92400 0 1000 613 30 0 302 54 
93600 0 1000 631 33 0 304 32 
94800 0 1000 634 33 0 289 43 
96000 0 1000 608 31 0 318 42 
97200 0 1000 635 25 0 312 28 
98400 0 1000 637 22 0 309 32 
99600 0 1000 620 44 0 309 26 
100800 0 1000 627 32 0 300 40 
102000 0 1000 620 38 0 315 26 
103200 0 1000 619 31 0 308 41 
104400 0 1000 647 36 0 280 36 
105600 0 1000 644 36 0 282 37 
106800 0 1000 623 37 0 298 41 
108000 0 1000 651 29 0 294 26 
109200 0 1000 631 35 0 288 46 
110400 0 1000 654 28 0 295 23 
111600 0 1000 614 37 0 303 45 
112800 0 1000 637 33 0 284 46 
114000 0 1000 619 43 0 298 39 
115200 0 1000 624 41 0 294 41 
116400 0 1000 644 32 0 293 30 
117600 0 1000 614 29 0 311 45 
118800 0 1000 629 33 0 286 51 
